timestamp,phi,theta,psi,quat[0],quat[1],quat[2],quat[3],p,q,r,ax,ay,az,vn,ve,vd,airspeed,lat,lon,alt,lat_0,lon_0,alt_0,x_R,y_R,h_R,h_AGL,flag,status,delta_ts
100,0.004028893541544676,0.004567832686007023,0.00425270339474082,0.9999931454658508,0.00200957921333611,0.0022881878539919853,0.002121739089488983,0.0937485322356224,0.10043833404779434,0.01741976849734783,0.05241122841835022,0.2614573836326599,-9.782503128051758,0.006374143064022064,0.012926104478538036,0.10884912312030792,0.10000000149011612,0.0,0.0,-0.0,0.0,0.0,0.0,0.00032653450034558773,0.0005217434954829514,-0.010427332483232021,-0.010427332483232021,15,5,0
200,-0.015061396174132824,0.01012809481471777,0.2919258177280426,0.9893200397491455,-0.00818696990609169,0.003914755303412676,0.14547690749168396,0.015298770740628242,0.010628050193190575,0.007511873263865709,0.09753162413835526,0.08579625189304352,-9.813535690307617,0.021213315427303314,0.011529532261192799,0.12346766144037247,0.10000000149011612,0.0,0.0,-0.0,0.0,0.0,0.0,0.0023626377806067467,0.0013276786776259542,-0.022582996636629105,-0.022582996636629105,13,5,100
300,-0.01514437422156334,0.010947277769446373,0.29229649901390076,0.9892901182174683,-0.0082883695140481,0.004312404431402683,0.14566318690776825,-0.021913621574640274,0.015237091109156609,0.001964047085493803,0.13964134454727173,0.06850770115852356,-9.747446060180664,0.027874784544110298,0.0030707395635545254,0.1295078694820404,0.10000000149011612,0.0,0.0,-0.0,0.0,0.0,0.0,0.004868355114012957,0.0020350536797195673,-0.035238251090049744,-0.035238251090049744,13,5,100
400,-0.015250122174620628,0.011614021845161915,0.29256701469421387,0.9892677664756775,-0.008389837108552456,0.004633373115211725,0.14579947292804718,0.0031201988458633423,0.001516203279606998,0.00192070915363729,0.13481996953487396,0.10789188742637634,-9.686955451965332,0.03284117206931114,-0.0029354675207287073,0.13768966495990753,0.10000000149011612,0.0,0.0,-0.0,0.0,0.0,0.0,0.007898842915892601,0.0020466791465878487,-0.048590704798698425,-0.048590704798698425,13,5,100
500,-0.014795603230595589,0.012038031592965126,0.2928406000137329,0.9892482161521912,-0.008196573704481125,0.0048751188442111015,0.1459350883960724,0.012427829205989838,0.0005955680971965194,0.002953710500150919,0.12954279780387878,0.060293544083833694,-9.727109909057617,0.03686072304844856,-0.010257036425173283,0.14518707990646362,0.10000000149011612,0.0,0.0,-0.0,0.0,0.0,0.0,0.01136873196810484,0.0013996821362525225,-0.06269008666276932,-0.06269008666276932,13,5,100
600,-0.014629848301410675,0.012635697610676289,0.2931668162345886,0.9892228841781616,-0.008159015327692032,0.005181506276130676,0.14609791338443756,-0.011290870606899261,0.012627826072275639,0.009670665487647057,0.11602374166250229,0.060859568417072296,-9.746969223022461,0.04046943411231041,-0.017416123300790787,0.1519651710987091,0.10000000149011612,0.0,0.0,-0.0,0.0,0.0,0.0,0.01522879395633936,2.2951437131268904e-05,-0.07756491005420685,-0.07756491005420685,13,5,100
700,-0.014683366753160954,0.013223952613770962,0.2934345006942749,0.9892009496688843,-0.008229163475334644,0.005467457231134176,0.14623232185840607,0.0018968521617352962,0.003066797973588109,0.002710824366658926,0.13098186254501343,0.07792322337627411,-9.724838256835938,0.043409205973148346,-0.02410782128572464,0.15895488858222961,0.10000000149011612,0.0,-0.0,-0.0,0.0,0.0,0.0,0.019445229321718216,-0.0020355847664177418,-0.09312691539525986,-0.09312691539525986,13,5,100
800,-0.014308808371424675,0.013621393591165543,0.29372796416282654,0.9891794919967651,-0.008073782548308372,0.005690236110240221,0.14637765288352966,0.006175448652356863,0.0028918227180838585,0.0026952752377837896,0.14046835899353027,0.05511346831917763,-9.762079238891602,0.045271288603544235,-0.030644843354821205,0.16590817272663116,0.10000000149011612,0.0,-0.0,-0.0,0.0,0.0,0.0,0.02390253357589245,-0.004764661658555269,-0.10937309265136719,-0.10937309265136719,13,5,100
900,-0.014219248667359352,0.014151634648442268,0.294037401676178,0.989155113697052,-0.008069191128015518,0.005957797635346651,0.14653202891349792,-0.008338933810591698,0.008155297487974167,0.002712423447519541,0.13881176710128784,0.08352929353713989,-9.72058391571045,0.04760362207889557,-0.03793646767735481,0.17337769269943237,0.10000000149011612,0.0,-0.0,-0.0,0.0,0.0,0.0,0.02855985425412655,-0.00818711519241333,-0.1262902319431305,-0.1262902319431305,13,5,100
1000,-0.01414984930306673,0.014638702385127544,0.29434168338775635,0.9891311526298523,-0.008071471937000751,0.006202550604939461,0.14668376743793488,0.004694593604654074,0.002619775477796793,0.0020439126528799534,0.13753093779087067,0.07140396535396576,-9.720706939697266,0.04867040365934372,-0.04361054673790932,0.18206265568733215,0.10000000149011612,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0333617627620697,-0.012232771143317223,-0.14408430457115173,-0.14408430457115173,13,5,100
1100,-0.013850485906004906,0.015062196180224419,0.2946362793445587,0.9891088604927063,-0.007955403998494148,0.0064327833242714405,0.1468297690153122,0.0021065010223537683,0.004070756956934929,0.0038986012805253267,0.14125847816467285,0.07318102568387985,-9.737646102905273,0.049227308481931686,-0.04996773973107338,0.18817633390426636,0.10000000149011612,0.0,-0.0,-0.0,0.0,0.0,0.0,0.03828180581331253,-0.016906006261706352,-0.16255070269107819,-0.16255070269107819,13,5,100
1200,-0.013790136203169823,0.015600182116031647,0.294940322637558,0.9890844821929932,-0.007966045290231705,0.006702070590108633,0.14698146283626556,-0.005910675507038832,0.007429841440171003,0.002563506131991744,0.13675272464752197,0.05165203660726547,-9.742498397827148,0.050128381699323654,-0.05691651254892349,0.19423222541809082,0.10000000149011612,0.0,-0.0,-0.0,0.0,0.0,0.0,0.04325905814766884,-0.022248202934861183,-0.1816623955965042,-0.1816623955965042,13,5,100
1300,-0.013653288595378399,0.01607460342347622,0.2952130138874054,0.9890629053115845,-0.007934154942631721,0.006945670582354069,0.14711715281009674,0.003969426266849041,0.0022447973024100065,0.0022969902493059635,0.12810355424880981,0.06533607095479965,-9.72968578338623,0.05050581693649292,-0.06357546150684357,0.20232835412025452,0.10000000149011612,0.0,-0.0,-0.0,0.0,0.0,0.0,0.048304684460163116,-0.02826903946697712,-0.20147700607776642,-0.20147700607776642,13,5,100
1400,-0.013407326303422451,0.01651017926633358,0.2955405116081238,0.9890377521514893,-0.007845710963010788,0.007177887484431267,0.14727945625782013,-0.0007751637604087591,0.006097092293202877,0.0028407303616404533,0.13121020793914795,0.05938102304935455,-9.735414505004883,0.04988374188542366,-0.07028407603502274,0.20926260948181152,0.10000000149011612,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0533408485352993,-0.03497368469834328,-0.2220686674118042,-0.2220686674118042,13,5,100
1500,-0.013377712108194828,0.016989389434456825,0.2958544194698334,0.9890125393867493,-0.007867492735385895,0.007415815722197294,0.14743587374687195,-0.0030106648337095976,0.006383566185832024,0.0026107821613550186,0.12991462647914886,0.07188080996274948,-9.714759826660156,0.0482378788292408,-0.07713113725185394,0.21643084287643433,0.10000000149011612,0.0,-0.0,-0.0,0.0,0.0,0.0,0.058260731399059296,-0.042326994240283966,-0.24336951971054077,-0.24336951971054077,13,5,100
1600,-0.013178987428545952,0.017383743077516556,0.29616305232048035,0.9889886379241943,-0.0077994465827941895,0.007624275516718626,0.1475887894630432,0.003736277809366584,0.001718083512969315,0.0025043548084795475,0.11859767138957977,0.06544234603643417,-9.709782600402832,0.04629724845290184,-0.08409839868545532,0.22576799988746643,0.10000000149011612,0.0,-0.0,-0.0,0.0,0.0,0.0,0.06299619376659393,-0.050371166318655014,-0.26546335220336914,-0.26546335220336914,13,5,100
1700,-0.012956298887729645,0.017755502834916115,0.2964668869972229,0.9889652729034424,-0.007717929780483246,0.007823372259736061,0.14773912727832794,-0.0017152451910078526,0.006383482366800308,0.0038608836475759745,0.14743566513061523,0.07072805613279343,-9.752412796020508,0.044222984462976456,-0.09030125290155411,0.2331928312778473,0.10000000149011612,0.0,-0.0,-0.0,0.0,0.0,0.0,0.06752347201108932,-0.0590866357088089,-0.2884109616279602,-0.2884109616279602,13,5,100
